Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanixuish
xuiOptionsControlsRemoveVehicleSeatTiltTooltip,UI,XUi Controls Options,x,,Remove forced tilt of the head from some vehicles that recline the player model,,,,,,,,Usunięcie wymuszonego pochylenia głowy w niektórych pojazdach które przechylają model gracza,,,,,,
xuiOptionsControlsDynamicObjectDetailTargetFPS,UI,XUi Controls Options,x,,Dynamic ObjectDetail TargetFPS,,,,,,,,Dynamiczna Jakość Obiektów min klatek,,,,,,
xuiOptionsControlsDynamicObjectDetailTargetFPSTooltip,UI,XUi Controls Options,x,,Anything but zero will attempt to raise object quality as high as it can while above target FPS,,,,,,,,Wartości powyżej zera będą podnosić Jakość Obiektów dopóki liczba klatek na sekundę będzie powyżej tej wartości,,,,,,
xuiOptionsControlsImprovedHorns,UI,XUi Controls Options,x,,Improved Vehicle Horns,,,,,,,,Ulepszone klaksony pojazdów,,,,,,
xuiOptionsControlsImprovedHornsTooltip,UI,XUi Controls Options,x,,No longer wait forever until you eventually give up after ringing for service,,,,,,,,Nie czekaj w nieskończoność do utraty cierpliwości po wezwaniu obsługi,,,,,,
xuiOptionsControlsVRMode,UI,XUi Controls Options,x,,Virtual Reality,,,,,,,,Tryb VR,,,,,,
xuiOptionsControlsVRModeTooltip,UI,XUi Controls Options,x,,Launch game in VR (Requires Restart),,,,,,,,Uruchom grę w VR (wymaga restartu),,,,,,
btnAdjustItem,UI,XUi Controls Options,x,,Adjust Item,,,,,,,,Dostosuj przedmiot,,,,,
btnAdjustLaser,UI,XUi Controls Options,x,,Adjust Pointer,,,,,,,,Dostosuj wskaźnik,,,,,
btnAdjustHand,UI,XUi Controls Options,x,,Adjust Hand,,,,,,,,Dostosuj rękę,,,,,
